City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
170,mehamn,71.0357,27.8492,272.1,69,100,5.73,NO
171,longyearbyen,78.2186,15.6401,263.06,67,20,8.75,SJ
172,saint-philippe,-21.3585,55.7679,296.92,83,55,3.79,RE
173,tigil,57.8,158.6667,246.71,94,44,2.14,RU
174,aberdeen,57.1437,-2.0981,278.45,80,100,2.57,GB
175,nikolskoye,59.7035,30.7861,273.09,96,100,2.72,RU
176,faya,18.3851,42.4509,286.44,66,3,1.95,SA
177,melito di porto salvo,37.9222,15.7714,284.14,70,84,2.57,IT
178,coahuayana,18.7333,-103.6833,302.61,41,78,2.85,MX
179,morgan city,29.6994,-91.2068,289.27,82,100,2.57,US
180,liku,-0.7275,119.8922,296.6,94,100,0.58,ID
181,garmsar,35.2182,52.3409,279.68,52,0,2.98,IR
182,palau,7.503,134.621,298.13,88,75,4.12,PW
183,nioro,13.35,-15.75,300.1,15,7,3.4,GM
184,aklavik,68.2191,-135.0107,241.78,99,99,3.03,CA
185,copiapo,-27.3667,-70.3333,292.98,40,18,3.65,CL
186,lavrentiya,65.5833,-171.0,264.73,95,100,1.98,RU
187,sobolevo,54.4299,31.8996,270.9,96,100,5.65,RU
188,diego de almagro,-26.3667,-70.05,299.67,33,10,5.98,CL
189,kahului,20.8947,-156.47,299.73,78,20,5.14,US
190,leningradskiy,69.3833,178.4167,250.74,99,86,2.87,RU
191,san jose,37.3394,-121.895,290.88,35,75,3.6,US
192,chudniv,50.052,28.1175,273.19,88,99,5.53,UA
193,fortuna,40.5982,-124.1573,288.11,57,0,4.12,US
194,quirinopolis,-18.4483,-50.4517,297.08,83,58,2.28,BR
195,burnie,-41.0667,145.9167,285.9,81,100,7.43,AU
196,buzuluk,52.7807,52.2635,256.94,93,95,1.43,RU
197,moerai,-22.4333,-151.3333,299.7,78,50,5.79,PF
198,geraldton,-28.7667,114.6,300.38,39,0,2.06,AU
199,turka,49.1541,23.0297,272.48,96,100,3.24,UA
200,severo-kurilsk,50.6789,156.125,266.86,75,79,2.61,RU
201,kodiak,57.79,-152.4072,276.88,70,0,3.09,US
202,anloga,5.7947,0.8973,299.72,85,3,4.84,GH
203,atasu,48.6814,71.6433,257.43,96,34,3.88,KZ
204,rurrenabaque,-14.4413,-67.5278,299.44,84,100,0.78,BO
205,kayes,14.0,-11.0,300.67,11,58,2.68,ML
206,san andres,12.5847,-81.7006,300.16,78,100,6.69,CO
207,cayenne,4.9333,-52.3333,296.17,100,100,4.12,GF
